2017-01-21 03:38:30,040 [Thread-9] INFO  marytts.main Mary starting up...
2017-01-21 03:38:30,056 [Thread-9] INFO  marytts.main Specification version 5.2
2017-01-21 03:38:30,056 [Thread-9] INFO  marytts.main Implementation version unknown
2017-01-21 03:38:30,056 [Thread-9] INFO  marytts.main Running on a Java 1.8.0_101 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2017-01-21 03:38:30,307 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2017-01-21 03:38:30,322 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2017-01-21 03:38:30,322 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2017-01-21 03:38:30,322 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2017-01-21 03:38:30,322 [Thread-9] INFO  marytts.JPhonemiser_de User dictionary '.\user-dictionaries\userdict-de.txt' for locale 'de' does not exist. Ignoring.
2017-01-21 03:38:30,354 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2017-01-21 03:38:30,354 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2017-01-21 03:38:30,369 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2017-01-21 03:38:30,369 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2017-01-21 03:38:30,369 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2017-01-21 03:38:30,683 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2017-01-21 03:38:30,684 [Thread-9] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2017-01-21 03:38:30,721 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2017-01-21 03:38:30,721 [Thread-9] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2017-01-21 03:38:30,768 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2017-01-21 03:38:30,768 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2017-01-21 03:38:30,768 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2017-01-21 03:38:30,768 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2017-01-21 03:38:30,768 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Phonemiser'
2017-01-21 03:38:30,784 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Preprocess'
2017-01-21 03:38:30,784 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(fr,fr.)'
2017-01-21 03:38:30,799 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.JTokeniser'
2017-01-21 03:38:30,799 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Preprocess'
2017-01-21 03:38:30,799 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(it.)'
2017-01-21 03:38:30,815 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(it,it.pos)'
2017-01-21 03:38:30,815 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Prosody'
2017-01-21 03:38:30,815 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Postlex'
2017-01-21 03:38:30,815 [Thread-9] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.LuxembourgishPreprocess'
